date,time,booking_status,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,booking_value,ride_distance,driver_ratings,customer_rating,payment_method,price_per_km,day,month,period,hour,iscompleted
2024-08-23,1900-01-01 08:56:10,Completed,Auto,Khandsa,Malviya Nagar,13.4,25.8,627.0,13.58,4.9,4.9,Debit Card,46.17083946980854,Friday,8,Morning,8,1
2024-10-21,1900-01-01 17:17:25,Completed,Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,416.0,34.02,4.6,5.0,UPI,12.228101116990004,Monday,10,Evening,17,1
2024-09-16,1900-01-01 22:08:00,Completed,Bike,Ghitorni Village,Khan Market,5.3,19.6,737.0,48.21,4.1,4.3,UPI,15.287284795685542,Monday,9,Night,22,1
2024-02-06,1900-01-01 09:44:56,Completed,Auto,AIIMS,Narsinghpur,5.1,18.1,316.0,4.85,4.1,4.6,UPI,65.15463917525774,Tuesday,2,Morning,9,1
2024-06-17,1900-01-01 15:45:58,Completed,Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,640.0,41.24,4.0,4.1,UPI,15.518913676042676,Monday,6,Afternoon,15,1
2024-03-19,1900-01-01 17:37:37,Completed,Auto,Mayur Vihar,Cyber Hub,12.1,16.5,136.0,6.56,4.4,4.2,UPI,20.731707317073173,Tuesday,3,Evening,17,1
2024-06-14,1900-01-01 16:24:12,Completed,Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,181.0,19.84,4.2,4.9,Cash,9.122983870967742,Friday,6,Afternoon,16,1
2024-09-11,1900-01-01 19:29:39,Completed,Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,394.0,21.44,4.1,4.7,UPI,18.37686567164179,Wednesday,9,Evening,19,1
2024-10-18,1900-01-01 18:28:53,Completed,Go Mini,Madipur,GTB Nagar,14.0,30.9,836.0,39.55,4.7,4.4,UPI,21.137800252844503,Friday,10,Evening,18,1
2024-06-07,1900-01-01 15:05:35,Completed,Auto,Jama Masjid,Khan Market,8.5,36.9,410.0,34.76,4.0,4.9,Uber Wallet,11.795166858457998,Friday,6,Afternoon,15,1
2024-07-01,1900-01-01 10:51:16,Completed,Premier Sedan,IGI Airport,Madipur,5.6,27.5,401.0,21.97,4.9,4.3,UPI,18.252162039144288,Monday,7,Morning,10,1
2024-12-14,1900-01-01 21:27:04,Completed,Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,264.0,13.64,3.8,4.7,Uber Wallet,19.35483870967742,Saturday,12,Night,21,1
2024-07-29,1900-01-01 06:28:22,Completed,Auto,Greater Noida,Botanical Garden,7.0,21.3,183.0,4.5,5.0,4.2,UPI,40.666666666666664,Monday,7,Morning,6,1
2024-02-23,1900-01-01 11:02:45,Completed,Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,713.0,38.03,3.7,3.6,UPI,18.748356560610045,Friday,2,Morning,11,1
2024-03-09,1900-01-01 20:14:24,Completed,Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,113.0,14.53,4.6,4.9,UPI,7.7770130763936685,Saturday,3,Evening,20,1
2024-08-28,1900-01-01 16:30:14,Completed,Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,767.0,7.39,3.8,4.6,Debit Card,103.78890392422193,Wednesday,8,Afternoon,16,1
2024-08-08,1900-01-01 06:34:38,Completed,Uber XL,Okhla,Barakhamba Road,5.1,20.7,495.0,10.23,3.8,4.2,Credit Card,48.387096774193544,Thursday,8,Morning,6,1
2024-11-03,1900-01-01 12:24:59,Completed,Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,2847.0,39.21,3.1,4.6,Debit Card,72.60902830910481,Sunday,11,Afternoon,12,1
